== Rival pressure probe · seed 2039 · 1825 days · entrepreneur · home ARN ==
DAY  DATE       | RIVAL            | ACTION                                               | PLAYER IMPACT                                  | CURRENT VISIBILITY
D067 2030-03-09 | Aurora Atlantic | FREQUENCY UP LHR-BER 9x→10x | none | NO EVENT
D067 2030-03-09 | Aurora Atlantic | FREQUENCY UP LHR-MUC 8x→9x | none | NO EVENT
D068 2030-03-10 | PacificBlue | FREQUENCY UP IST-BER 5x→6x | none | NO EVENT
D068 2030-03-10 | PacificBlue | FREQUENCY UP IST-MXP 4x→5x | none | NO EVENT
D068 2030-03-10 | PacificBlue | FREQUENCY UP IST-MUC 3x→4x | none | NO EVENT
FIGHT D070 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$35k · you $57/2x vs
D071 2030-03-13 | TerraLink | OPENED CGK-SIN elsewhere @$105 2x | none | FILTERED
D072 2030-03-14 | Crown Meridian | FREQUENCY UP HND-TPE 7x→8x | none | NO EVENT
D072 2030-03-14 | Crown Meridian | FREQUENCY UP HND-KIX 5x→6x | none | NO EVENT
D072 2030-03-14 | Crown Meridian | FREQUENCY UP HND-PEK 3x→4x | none | NO EVENT
D073 2030-03-15 | SwiftJet | FREQUENCY UP CDG-ZRH 8x→9x | none | NO EVENT
D073 2030-03-15 | SwiftJet | FREQUENCY UP CDG-NCE 7x→8x | none | NO EVENT
D073 2030-03-15 | SwiftJet | FREQUENCY UP CDG-MUC 6x→7x | none | NO EVENT
D074 2030-03-16 | Aurora Atlantic | FREQUENCY UP LHR-BER 10x→11x | none | NO EVENT
D074 2030-03-16 | Aurora Atlantic | FREQUENCY UP LHR-MUC 9x→10x | none | NO EVENT
D075 2030-03-17 | PacificBlue | FREQUENCY UP IST-BER 6x→7x | none | NO EVENT
D075 2030-03-17 | PacificBlue | FREQUENCY UP IST-MXP 5x→6x | none | NO EVENT
D075 2030-03-17 | PacificBlue | FREQUENCY UP IST-MUC 4x→5x | none | NO EVENT
FIGHT D077 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$59k · you $57/2x vs
D078 2030-03-20 | TerraLink | FREQUENCY UP CGK-DPS 7x→8x | none | NO EVENT
D078 2030-03-20 | TerraLink | FREQUENCY UP CGK-BKK 6x→7x | none | NO EVENT
D078 2030-03-20 | TerraLink | FREQUENCY UP CGK-SIN 2x→3x | none | NO EVENT
D078 2030-03-20 | TerraLink | FLEET GREW 6→7 | none directly | FILTERED
D079 2030-03-21 | Crown Meridian | FREQUENCY UP HND-TPE 8x→9x | none | NO EVENT
D079 2030-03-21 | Crown Meridian | FREQUENCY UP HND-KIX 6x→7x | none | NO EVENT
D079 2030-03-21 | Crown Meridian | FREQUENCY UP HND-PEK 4x→5x | none | NO EVENT
D080 2030-03-22 | SwiftJet | FREQUENCY UP CDG-ZRH 9x→10x | none | NO EVENT
D080 2030-03-22 | SwiftJet | FREQUENCY UP CDG-NCE 8x→9x | none | NO EVENT
D080 2030-03-22 | SwiftJet | FREQUENCY UP CDG-MUC 7x→8x | none | NO EVENT
D081 2030-03-23 | Aurora Atlantic | FREQUENCY UP LHR-BER 11x→12x | none | NO EVENT
D081 2030-03-23 | Aurora Atlantic | FREQUENCY UP LHR-MUC 10x→11x | none | NO EVENT
D082 2030-03-24 | PacificBlue | FREQUENCY UP IST-BER 7x→8x | none | NO EVENT
D082 2030-03-24 | PacificBlue | FREQUENCY UP IST-MXP 6x→7x | none | NO EVENT
D082 2030-03-24 | PacificBlue | FREQUENCY UP IST-MUC 5x→6x | none | NO EVENT
FIGHT D084 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$83k · you $57/2x vs
D086 2030-03-28 | Crown Meridian | FREQUENCY UP HND-TPE 9x→10x | none | NO EVENT
D086 2030-03-28 | Crown Meridian | FREQUENCY UP HND-KIX 7x→8x | none | NO EVENT
D086 2030-03-28 | Crown Meridian | FREQUENCY UP HND-PEK 5x→6x | none | NO EVENT
D087 2030-03-29 | SwiftJet | FREQUENCY UP CDG-ZRH 10x→11x | none | NO EVENT
D087 2030-03-29 | SwiftJet | FREQUENCY UP CDG-NCE 9x→10x | none | NO EVENT
D087 2030-03-29 | SwiftJet | FREQUENCY UP CDG-MUC 8x→9x | none | NO EVENT
D088 2030-03-30 | Aurora Atlantic | FREQUENCY UP LHR-BER 12x→13x | none | NO EVENT
D088 2030-03-30 | Aurora Atlantic | FREQUENCY UP LHR-MUC 11x→12x | none | NO EVENT
D089 2030-03-31 | PacificBlue | FREQUENCY UP IST-BER 8x→9x | none | NO EVENT
D089 2030-03-31 | PacificBlue | FREQUENCY UP IST-MXP 7x→8x | none | NO EVENT
D089 2030-03-31 | PacificBlue | FREQUENCY UP IST-MUC 6x→7x | none | NO EVENT
MONTH 2030-04 | player routes 5 fleet 5 cash $16.4M era regional | rivals alive 5 routes 14 | contested 0
FIGHT D091 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$3,386 · you $57/2x vs
D092 2030-04-03 | TerraLink | FREQUENCY UP CGK-DPS 8x→9x | none | NO EVENT
D092 2030-04-03 | TerraLink | FREQUENCY UP CGK-BKK 7x→8x | none | NO EVENT
D092 2030-04-03 | TerraLink | FREQUENCY UP CGK-SIN 3x→4x | none | NO EVENT
D092 2030-04-03 | TerraLink | FLEET GREW 7→8 | none directly | FILTERED
D093 2030-04-04 | Crown Meridian | FREQUENCY UP HND-TPE 10x→11x | none | NO EVENT
D093 2030-04-04 | Crown Meridian | FREQUENCY UP HND-KIX 8x→9x | none | NO EVENT
D093 2030-04-04 | Crown Meridian | FREQUENCY UP HND-PEK 6x→7x | none | NO EVENT
D094 2030-04-05 | SwiftJet | FREQUENCY UP CDG-ZRH 11x→12x | none | NO EVENT
D094 2030-04-05 | SwiftJet | FREQUENCY UP CDG-NCE 10x→11x | none | NO EVENT
D094 2030-04-05 | SwiftJet | FREQUENCY UP CDG-MUC 9x→10x | none | NO EVENT
D095 2030-04-06 | Aurora Atlantic | FREQUENCY UP LHR-BER 13x→14x | none | NO EVENT
D095 2030-04-06 | Aurora Atlantic | FREQUENCY UP LHR-MUC 12x→13x | none | NO EVENT
D096 2030-04-07 | PacificBlue | FREQUENCY UP IST-BER 9x→10x | none | NO EVENT
D096 2030-04-07 | PacificBlue | FREQUENCY UP IST-MXP 8x→9x | none | NO EVENT
D096 2030-04-07 | PacificBlue | FREQUENCY UP IST-MUC 7x→8x | none | NO EVENT
FIGHT D098 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$27k · you $57/2x vs
D100 2030-04-11 | Crown Meridian | FREQUENCY UP HND-TPE 11x→12x | none | NO EVENT
D100 2030-04-11 | Crown Meridian | FREQUENCY UP HND-KIX 9x→10x | none | NO EVENT
D100 2030-04-11 | Crown Meridian | FREQUENCY UP HND-PEK 7x→8x | none | NO EVENT
D101 2030-04-12 | SwiftJet | FREQUENCY UP CDG-ZRH 12x→13x | none | NO EVENT
D101 2030-04-12 | SwiftJet | FREQUENCY UP CDG-NCE 11x→12x | none | NO EVENT
D101 2030-04-12 | SwiftJet | FREQUENCY UP CDG-MUC 10x→11x | none | NO EVENT
D102 2030-04-13 | Aurora Atlantic | FREQUENCY UP LHR-BER 14x→15x | none | NO EVENT
D102 2030-04-13 | Aurora Atlantic | FREQUENCY UP LHR-MUC 13x→14x | none | NO EVENT
D103 2030-04-14 | PacificBlue | FREQUENCY UP IST-BER 10x→11x | none | NO EVENT
D103 2030-04-14 | PacificBlue | FREQUENCY UP IST-MXP 9x→10x | none | NO EVENT
D103 2030-04-14 | PacificBlue | FREQUENCY UP IST-MUC 8x→9x | none | NO EVENT
FIGHT D105 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$51k · you $57/2x vs
D106 2030-04-17 | TerraLink | FREQUENCY UP CGK-DPS 9x→10x | none | NO EVENT
D106 2030-04-17 | TerraLink | FREQUENCY UP CGK-BKK 8x→9x | none | NO EVENT
D106 2030-04-17 | TerraLink | FREQUENCY UP CGK-SIN 4x→5x | none | NO EVENT
D106 2030-04-17 | TerraLink | FLEET GREW 8→9 | none directly | FILTERED
D107 2030-04-18 | Crown Meridian | FREQUENCY UP HND-TPE 12x→13x | none | NO EVENT
D107 2030-04-18 | Crown Meridian | FREQUENCY UP HND-KIX 10x→11x | none | NO EVENT
D107 2030-04-18 | Crown Meridian | FREQUENCY UP HND-PEK 8x→9x | none | NO EVENT
D108 2030-04-19 | SwiftJet | FREQUENCY UP CDG-ZRH 13x→14x | none | NO EVENT
D108 2030-04-19 | SwiftJet | FREQUENCY UP CDG-NCE 12x→13x | none | NO EVENT
D108 2030-04-19 | SwiftJet | FREQUENCY UP CDG-MUC 11x→12x | none | NO EVENT
D109 2030-04-20 | Aurora Atlantic | FREQUENCY UP LHR-BER 15x→16x | none | NO EVENT
D109 2030-04-20 | Aurora Atlantic | FREQUENCY UP LHR-MUC 14x→15x | none | NO EVENT
D110 2030-04-21 | PacificBlue | FREQUENCY UP IST-BER 11x→12x | none | NO EVENT
D110 2030-04-21 | PacificBlue | FREQUENCY UP IST-MXP 10x→11x | none | NO EVENT
D110 2030-04-21 | PacificBlue | FREQUENCY UP IST-MUC 9x→10x | none | NO EVENT
FIGHT D112 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$74k · you $57/2x vs
D114 2030-04-25 | Crown Meridian | FREQUENCY UP HND-TPE 13x→14x | none | NO EVENT
D114 2030-04-25 | Crown Meridian | FREQUENCY UP HND-KIX 11x→12x | none | NO EVENT
D114 2030-04-25 | Crown Meridian | FREQUENCY UP HND-PEK 9x→10x | none | NO EVENT
D115 2030-04-26 | SwiftJet | FREQUENCY UP CDG-ZRH 14x→15x | none | NO EVENT
D115 2030-04-26 | SwiftJet | FREQUENCY UP CDG-NCE 13x→14x | none | NO EVENT
D115 2030-04-26 | SwiftJet | FREQUENCY UP CDG-MUC 12x→13x | none | NO EVENT
D116 2030-04-27 | Aurora Atlantic | FREQUENCY UP LHR-BER 16x→17x | none | NO EVENT
D116 2030-04-27 | Aurora Atlantic | FREQUENCY UP LHR-MUC 15x→16x | none | NO EVENT
D117 2030-04-28 | PacificBlue | FREQUENCY UP IST-BER 12x→13x | none | NO EVENT
D117 2030-04-28 | PacificBlue | FREQUENCY UP IST-MXP 11x→12x | none | NO EVENT
D117 2030-04-28 | PacificBlue | FREQUENCY UP IST-MUC 10x→11x | none | NO EVENT
FIGHT D119 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$97k · you $57/2x vs
D120 2030-05-01 | TerraLink | FREQUENCY UP CGK-DPS 10x→11x | none | NO EVENT
D120 2030-05-01 | TerraLink | FREQUENCY UP CGK-BKK 9x→10x | none | NO EVENT
D120 2030-05-01 | TerraLink | FREQUENCY UP CGK-SIN 5x→6x | none | NO EVENT
D120 2030-05-01 | TerraLink | FLEET GREW 9→10 | none directly | FILTERED
MONTH 2030-05 | player routes 5 fleet 5 cash $21.4M era regional | rivals alive 5 routes 14 | contested 0
D121 2030-05-02 | Crown Meridian | FREQUENCY UP HND-TPE 14x→15x | none | NO EVENT
D121 2030-05-02 | Crown Meridian | FREQUENCY UP HND-KIX 12x→13x | none | NO EVENT
D121 2030-05-02 | Crown Meridian | FREQUENCY UP HND-PEK 10x→11x | none | NO EVENT
D122 2030-05-03 | SwiftJet | FREQUENCY UP CDG-ZRH 15x→16x | none | NO EVENT
D122 2030-05-03 | SwiftJet | FREQUENCY UP CDG-NCE 14x→15x | none | NO EVENT
D122 2030-05-03 | SwiftJet | FREQUENCY UP CDG-MUC 13x→14x | none | NO EVENT
D123 2030-05-04 | Aurora Atlantic | FREQUENCY UP LHR-BER 17x→18x | none | NO EVENT
D123 2030-05-04 | Aurora Atlantic | FREQUENCY UP LHR-MUC 16x→17x | none | NO EVENT
D124 2030-05-05 | PacificBlue | FREQUENCY UP IST-BER 13x→14x | none | NO EVENT
D124 2030-05-05 | PacificBlue | FREQUENCY UP IST-MXP 12x→13x | none | NO EVENT
D124 2030-05-05 | PacificBlue | FREQUENCY UP IST-MUC 11x→12x | none | NO EVENT
FIGHT D126 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$20k · you $57/2x vs
D128 2030-05-09 | Crown Meridian | FREQUENCY UP HND-TPE 15x→16x | none | NO EVENT
D128 2030-05-09 | Crown Meridian | FREQUENCY UP HND-KIX 13x→14x | none | NO EVENT
D128 2030-05-09 | Crown Meridian | FREQUENCY UP HND-PEK 11x→12x | none | NO EVENT
D129 2030-05-10 | SwiftJet | FREQUENCY UP CDG-ZRH 16x→17x | none | NO EVENT
D129 2030-05-10 | SwiftJet | FREQUENCY UP CDG-NCE 15x→16x | none | NO EVENT
D129 2030-05-10 | SwiftJet | FREQUENCY UP CDG-MUC 14x→15x | none | NO EVENT
D130 2030-05-11 | Aurora Atlantic | FREQUENCY UP LHR-BER 18x→19x | none | NO EVENT
D130 2030-05-11 | Aurora Atlantic | FREQUENCY UP LHR-MUC 17x→18x | none | NO EVENT
D131 2030-05-12 | PacificBlue | FREQUENCY UP IST-BER 14x→15x | none | NO EVENT
D131 2030-05-12 | PacificBlue | FREQUENCY UP IST-MXP 13x→14x | none | NO EVENT
D131 2030-05-12 | PacificBlue | FREQUENCY UP IST-MUC 12x→13x | none | NO EVENT
FIGHT D133 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$44k · you $57/2x vs
D134 2030-05-15 | TerraLink | FREQUENCY UP CGK-BKK 10x→11x | none | NO EVENT
D134 2030-05-15 | TerraLink | FREQUENCY UP CGK-SIN 6x→7x | none | NO EVENT
D134 2030-05-15 | TerraLink | FLEET GREW 10→11 | none directly | FILTERED
D135 2030-05-16 | Crown Meridian | FREQUENCY UP HND-TPE 16x→17x | none | NO EVENT
D135 2030-05-16 | Crown Meridian | FREQUENCY UP HND-KIX 14x→15x | none | NO EVENT
D135 2030-05-16 | Crown Meridian | FREQUENCY UP HND-PEK 12x→13x | none | NO EVENT
D136 2030-05-17 | SwiftJet | FREQUENCY UP CDG-ZRH 17x→18x | none | NO EVENT
D136 2030-05-17 | SwiftJet | FREQUENCY UP CDG-NCE 16x→17x | none | NO EVENT
D136 2030-05-17 | SwiftJet | FREQUENCY UP CDG-MUC 15x→16x | none | NO EVENT
D137 2030-05-18 | Aurora Atlantic | FREQUENCY UP LHR-BER 19x→20x | none | NO EVENT
D137 2030-05-18 | Aurora Atlantic | FREQUENCY UP LHR-MUC 18x→19x | none | NO EVENT
D138 2030-05-19 | PacificBlue | FREQUENCY UP IST-BER 15x→16x | none | NO EVENT
D138 2030-05-19 | PacificBlue | FREQUENCY UP IST-MXP 14x→15x | none | NO EVENT
D138 2030-05-19 | PacificBlue | FREQUENCY UP IST-MUC 13x→14x | none | NO EVENT
D138 2030-05-19 | PacificBlue | FLEET GREW 5→6 | none directly | FILTERED
FIGHT D140 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$67k · you $57/2x vs
D142 2030-05-23 | Crown Meridian | FREQUENCY UP HND-TPE 17x→18x | none | NO EVENT
D142 2030-05-23 | Crown Meridian | FREQUENCY UP HND-KIX 15x→16x | none | NO EVENT
D142 2030-05-23 | Crown Meridian | FREQUENCY UP HND-PEK 13x→14x | none | NO EVENT
D143 2030-05-24 | SwiftJet | FREQUENCY UP CDG-ZRH 18x→19x | none | NO EVENT
D143 2030-05-24 | SwiftJet | FREQUENCY UP CDG-NCE 17x→18x | none | NO EVENT
D143 2030-05-24 | SwiftJet | FREQUENCY UP CDG-MUC 16x→17x | none | NO EVENT
D144 2030-05-25 | Aurora Atlantic | FREQUENCY UP LHR-MUC 19x→20x | none | NO EVENT
FIGHT D147 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$88k · you $57/2x vs
D148 2030-05-29 | TerraLink | FREQUENCY UP CGK-BKK 11x→12x | none | NO EVENT
D148 2030-05-29 | TerraLink | FREQUENCY UP CGK-SIN 7x→8x | none | NO EVENT
D148 2030-05-29 | TerraLink | FLEET GREW 11→12 | none directly | FILTERED
D149 2030-05-30 | Crown Meridian | FREQUENCY UP HND-TPE 18x→19x | none | NO EVENT
D149 2030-05-30 | Crown Meridian | FREQUENCY UP HND-KIX 16x→17x | none | NO EVENT
D149 2030-05-30 | Crown Meridian | FREQUENCY UP HND-PEK 14x→15x | none | NO EVENT
D150 2030-05-31 | SwiftJet | FREQUENCY UP CDG-ZRH 19x→20x | none | NO EVENT
D150 2030-05-31 | SwiftJet | FREQUENCY UP CDG-NCE 18x→19x | none | NO EVENT
D150 2030-05-31 | SwiftJet | FREQUENCY UP CDG-MUC 17x→18x | none | NO EVENT
MONTH 2030-06 | player routes 5 fleet 5 cash $25.9M era regional | rivals alive 5 routes 14 | contested 0
D152 2030-06-02 | PacificBlue | FREQUENCY UP IST-BER 16x→17x | none | NO EVENT
D152 2030-06-02 | PacificBlue | FREQUENCY UP IST-MXP 15x→16x | none | NO EVENT
D152 2030-06-02 | PacificBlue | FREQUENCY UP IST-MUC 14x→15x | none | NO EVENT
FIGHT D154 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$10k · you $57/2x vs
D155 2030-06-05 | TerraLink | OPENED CGK-KUL elsewhere @$125 2x | none | FILTERED
D156 2030-06-06 | Crown Meridian | FREQUENCY UP HND-TPE 19x→20x | none | NO EVENT
D156 2030-06-06 | Crown Meridian | FREQUENCY UP HND-KIX 17x→18x | none | NO EVENT
D156 2030-06-06 | Crown Meridian | FREQUENCY UP HND-PEK 15x→16x | none | NO EVENT
D157 2030-06-07 | SwiftJet | FREQUENCY UP CDG-NCE 19x→20x | none | NO EVENT
D157 2030-06-07 | SwiftJet | FREQUENCY UP CDG-MUC 18x→19x | none | NO EVENT
D159 2030-06-09 | PacificBlue | FREQUENCY UP IST-BER 17x→18x | none | NO EVENT
D159 2030-06-09 | PacificBlue | FREQUENCY UP IST-MXP 16x→17x | none | NO EVENT
D159 2030-06-09 | PacificBlue | FREQUENCY UP IST-MUC 15x→16x | none | NO EVENT
FIGHT D161 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$34k · you $57/2x vs
D162 2030-06-12 | TerraLink | FREQUENCY UP CGK-BKK 12x→13x | none | NO EVENT
D162 2030-06-12 | TerraLink | FREQUENCY UP CGK-SIN 8x→9x | none | NO EVENT
D162 2030-06-12 | TerraLink | FREQUENCY UP CGK-KUL 2x→3x | none | NO EVENT
D162 2030-06-12 | TerraLink | FLEET GREW 12→13 | none directly | FILTERED
D163 2030-06-13 | Crown Meridian | FREQUENCY UP HND-KIX 18x→19x | none | NO EVENT
D163 2030-06-13 | Crown Meridian | FREQUENCY UP HND-PEK 16x→17x | none | NO EVENT
D164 2030-06-14 | SwiftJet | FREQUENCY UP CDG-MUC 19x→20x | none | NO EVENT
D166 2030-06-16 | PacificBlue | FREQUENCY UP IST-BER 18x→19x | none | NO EVENT
D166 2030-06-16 | PacificBlue | FREQUENCY UP IST-MXP 17x→18x | none | NO EVENT
D166 2030-06-16 | PacificBlue | FREQUENCY UP IST-MUC 16x→17x | none | NO EVENT
FIGHT D168 LHR-CDG share 100% (0 rivals) load 100% month-to-date −$57k · you $57/2x vs
